CTR-1,CTR-4,CTR-6,CTR-8
8,10,,
30.3,38.3,,
43.6,56,18,18
63.6,85,33,33
82.6,115,50,52
,,73,75.7
,,127.5,133.1
,,165,217
,,178,233.5
,,197,293.5
,,238,404.7
